id_pagamento,tipo,status,taxa
4499,Cartão de Crédito,False,7.41
1193,Dinheiro,False,9.01
7897,Dinheiro,True,5.3
8940,Cartão de Débito,False,3.44
2898,Dinheiro,False,1.5
4616,Pix,False,1.63
1967,Cartão de Crédito,False,9.21
9916,Dinheiro,True,9.28
9455,Dinheiro,True,7.23
3845,Cartão de Débito,True,7.23
2037,Cartão de Crédito,False,4.95
1919,Pix,True,9.01
5445,Dinheiro,False,8.59
5434,Cartão de Crédito,True,4.98
3161,Dinheiro,False,9.02
2632,Cartão de Débito,True,4.73
491,Cartão de Crédito,False,0.58
4502,Dinheiro,False,8.99
6568,Cartão de Crédito,True,4.55
9720,Pix,True,2.74
1750,Pix,False,1.63
2509,Cartão de Crédito,False,8.27
3544,Dinheiro,True,8.34
1238,Cartão de Débito,True,9.41
3315,Cartão de Débito,False,3.74
4665,Cartão de Débito,False,1.42
8469,Dinheiro,True,3.86
2481,Dinheiro,True,1.14
8159,Pix,True,5.54
6691,Dinheiro,False,3.47
1266,Dinheiro,False,4.52
3562,Pix,False,3.16
2499,Pix,True,3.94
4955,Dinheiro,True,6.46
7940,Cartão de Débito,True,1.13
8261,Cartão de Débito,True,1.31
4053,Dinheiro,False,9.92
581,Cartão de Crédito,True,2.77
4265,Pix,False,5.67
5376,Pix,True,4.41
1673,Dinheiro,True,5.47
6184,Cartão de Débito,True,6.78
857,Cartão de Crédito,True,1.62
3444,Cartão de Débito,True,2.19
9556,Pix,True,6.04
543,Pix,True,3.3
6710,Pix,True,0.71
1844,Cartão de Crédito,False,5.33
3822,Pix,False,9.43
3542,Cartão de Crédito,False,2.78
5126,Cartão de Débito,False,7.8
866,Cartão de Débito,True,2.06
1582,Dinheiro,True,0.31
2227,Dinheiro,True,5.58
7738,Cartão de Débito,True,5.98
9361,Cartão de Crédito,False,5.01
677,Cartão de Débito,False,7.32
575,Cartão de Débito,False,6.83
2650,Pix,True,9.22
2388,Dinheiro,True,8.85
1357,Dinheiro,True,5.43
4749,Dinheiro,True,7.09
4698,Cartão de Débito,False,7.18
2880,Cartão de Débito,True,2.29
2947,Pix,True,1.83
7569,Cartão de Crédito,True,9.91
5401,Pix,False,8.17
4434,Cartão de Crédito,True,7.5
2104,Cartão de Débito,False,6.26
5991,Cartão de Crédito,False,4.87
8722,Dinheiro,False,9.03
1897,Cartão de Crédito,False,6.24
5928,Dinheiro,False,8.94
9959,Dinheiro,False,2.2
338,Dinheiro,False,3.72
262,Cartão de Débito,False,8.66
628,Dinheiro,False,1.5
7611,Cartão de Crédito,True,9.16
1879,Pix,False,6.62
5466,Pix,True,6.0
1302,Cartão de Crédito,True,4.84
1180,Dinheiro,False,5.29
7989,Cartão de Débito,True,9.74
6731,Pix,False,4.89
4231,Cartão de Crédito,True,3.68
8877,Pix,True,2.64
7325,Cartão de Crédito,False,2.75
5383,Dinheiro,False,0.27
7291,Pix,False,8.13
5309,Cartão de Crédito,True,4.98
4326,Pix,True,7.24
1269,Pix,True,4.72
4180,Dinheiro,True,1.03
540,Pix,False,8.34
376,Pix,True,6.43
1622,Dinheiro,False,2.27
9222,Pix,True,7.23
404,Cartão de Crédito,True,9.66
2468,Cartão de Débito,True,5.93
6674,Cartão de Crédito,False,8.5
1152,Dinheiro,True,4.71
9224,Pix,False,6.16
4591,Pix,True,1.79
329,Dinheiro,True,2.23
5135,Cartão de Débito,True,0.24
5483,Cartão de Débito,False,9.37
7873,Cartão de Crédito,False,6.35
5362,Cartão de Crédito,True,6.61
3105,Cartão de Crédito,True,8.14
4128,Cartão de Crédito,True,0.75
3977,Pix,True,5.38
4685,Pix,False,2.71
4484,Cartão de Crédito,True,6.34
9069,Dinheiro,False,5.93
2861,Cartão de Crédito,False,5.43
4171,Dinheiro,False,8.36
6487,Cartão de Débito,False,7.54
6771,Dinheiro,False,1.26
5583,Dinheiro,False,7.85
862,Dinheiro,True,4.86
7058,Pix,False,1.63
760,Dinheiro,True,9.69
